GÖZLEM;DAKÝKA;;;;S A A T;;;;;;;;;
YILI;   5;10;15;30;  1;2;3;4;5;6;8;12;18;24
2020;10,1;16,6;17,9;19,4;19,5;19,5;20,7;24,9;28,8;28,9;29,2;29,2;29,9;39,3
2019;11,8;16,6;18,0;19,2;19,4;21,6;24,4;24,6;24,6;24,6;24,8;25,2;25,2;25,4
2018;7,4;12,2;14,8;17,4;20,4;30,8;36,8;38,0;38,0;38,2;38,2;39,4;39,6;39,6
2017;8,0;13,8;18,4;28,8;30,4;30,6;30,6;30,6;30,6;30,6;30,6;30,6;43,0;43,2
2016;5,1;7,3;8,5;10,1;10,9;14,4;18,6;23,0;25,0;25,6;25,6;33,0;45,0;50,6
2015;1,9;3,5;4,5;7,7;11,9;19,2;23,9;29,2;35,5;36,8;36,9;38,4;39,9;63,8
2014;7,7;12,6;13,2;15,4;18,0;23,7;33,0;33,1;33,2;33,3;33,5;39,8;40,1;47,8
2013;6,8;13,5;16,2;25,2;26,5;26,5;29,3;33,3;36,7;38,1;40,1;61,2;63,7;66,9
2012;5,3;7,1;8,5;12,7;17,4;21,1;26,1;28,3;31,7;32,1;32,4;33,1;34,1;39,4
2011;3,0;5,7;8,5;14,2;18,4;19,7;19,8;20,2;23,6;24,7;26,2;33,8;34,4;35,5
2010;8,6;10,3;12,1;18,2;22,7;31,8;46,5;61,8;72,3;76,3;84,0;95,0;107,5;128,9
2009;4,8;6,5;8,6;14,9;19,5;22,2;22,3;22,3;22,3;22,3;22,3;23,3;23,4;28,4
2008;3,8;5,9;8,1;10,6;12,9;19,5;22,5;25,2;26,3;26,4;26,5;26,5;26,6;41,4
2007;4,0;7,6;8,9;13,5;16,3;20,0;21,4;21,4;21,4;21,5;25,5;36,1;37,1;56,0
2006;3,9;6,8;9,6;15,4;17,4;17,4;17,4;17,5;17,5;18,3;18,3;18,4;19,5;72,3
2005;4,7;7,7;10,5;16,6;18,1;18,3;18,4;18,4;18,4;18,4;18,4;18,6;18,6;79,4
2004;2,5;5,0;7,5;8,7;8,8;9,1;11,0;11,4;12,1;12,7;12,8;15,1;17,8;45,8
2003;5,5;8,4;9,3;15,0;21,0;34,3;49,9;53,6;55,2;56,9;65,8;68,5;72,9;73,5
2002;6,7;10,0;12,2;14,6;18,1;28,3;33,7;40,4;42,3;42,7;44,6;49,1;56,1;59,3
2001;2,6;4,1;4,8;6,5;10,6;15,7;16,0;16,2;17,6;18,7;19,8;29,6;34,0;44,5
2000;12,6;15,5;18,8;22,0;22,2;25,0;25,7;27,0;28,9;29,6;31,2;32,4;37,8;50,2
1999;4,9;7,5;11,1;18,4;22,5;32,4;34,2;34,3;34,4;34,4;34,4;34,5;34,5;34,6
1998;8,1;8,7;8,9;13,0;19,3;24,1;30,3;33,4;33,8;33,8;33,8;33,8;34,3;51,6
1997;7,1;9,5;9,9;13,2;17,4;26,7;36,8;46,7;53,7;57,4;63,0;71,5;74,5;76,1
1996;4,7;7,1;7,7;8,2;9,7;13,3;15,7;24,7;25,9;25,9;30,9;35,7;36,8;42,6
1995;5,4;8,2;11,0;13,6;15,6;16,7;21,9;25,6;25,8;25,8;25,9;28,0;28,1;37,3
1994;7,8;7,9;10,4;13,9;16,6;19,9;21,3;22,4;24,2;24,5;26,5;29,7;39,8;51,5
1993;6,7;9,5;10,8;11,1;14,7;18,5;18,9;19,0;19,1;19,1;21,1;23,5;26,2;32,4
1992;7,6;10,9;12,2;16,5;21,9;28,9;33,5;37,9;38,1;46,7;47,1;51,1;51,4;51,4
1991;8,2;10,3;14,8;20,2;20,9;22,8;23,0;23,0;23,0;23,0;25,7;37,1;38,0;41,7
1990;7,1;9,2;9,9;9,9;14,1;18,8;27,2;32,0;37,5;38,4;49,5;65,0;66,3;79,7
1989;5,8;8,9;9,8;11,6;18,2;27,7;34,9;39,7;40,5;41,2;46,3;47,3;50,6;62,8
1988;1,5;1,9;2,2;4,1;6,9;12,8;14,5;16,5;18,1;18,3;21,7;25,5;28,1;35,7
1987;10,5;13,9;15,4;15,9;15,9;16,1;16,2;18,1;23,4;28,9;32,9;48,2;63,8;66,4
1986;9,3;9,6;9,6;11,8;16,8;20,7;24,6;32,1;37,8;42,0;51,3;65,4;77,2;87,8
1985;7,5;10,2;11,1;16,0;17,7;17,7;17,7;17,7;17,7;20,3;21,5;23,4;30,6;33,5
1984;5,0;8,4;9,5;12,6;12,7;20,2;23,2;24,1;24,6;25,9;34,8;45,6;54,4;55,3
1983;4,8;6,9;8,0;12,3;18,8;21,3;21,9;22,1;24,2;25,8;28,2;32,1;32,1;32,2
1982;7,9;9,5;10,0;13,2;14,3;14,4;14,4;14,6;15,1;17,9;19,9;22,9;30,9;48,8
1981;8,6;9,3;10,1;15,8;21,4;25,5;34,1;39,0;40,2;42,7;44,6;44,8;50,5;50,5
1980;16,4;17,1;17,9;18,3;19,3;19,4;19,4;23,2;25,2;26,6;28,8;31,8;35,7;52,3
1979;4,3;5,4;6,2;6,5;11,8;15,2;19,3;19,5;19,5;19,5;19,5;24,8;28,8;39,1
1978;4,5;5,5;7,0;8,6;14,0;16,6;17,7;20,0;21,8;21,9;22,0;38,9;44,0;44,6
